title,link
관리인 마스크,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200917000010&pgno=1
어린이 대공원 쓰레기집하장 내 쓰레기 제거 요청 ,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200902000003&pgno=1
"마스크미착용으로 축구 및, 베트민턴 치는 인원이 너무 많아요.",https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200826000002&pgno=1
공원 내 마스크 착용,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200825000003&pgno=1
청춘핫도그 점장님과 직원분께 감사드립니다,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200818000009&pgno=1
카드결제를 거부하는 매점을 신고합니다,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200816000002&pgno=1
참얼굴만큼예쁘고맘씨좋은 여직원을 만나 고마워서 글을남깁니다.,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200813000003&pgno=1
놀이동산에서 불쾌함을 겪었습니다,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200813000002&pgno=1
서문 플래카드,https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200730000004&pgno=1
간만에 친절한 아가씨를 만났어요.(놀이동산),https://www.sisul.or.kr/open_content/childrenpark/qna/qnaMsgDetail.do;jsessionid=24Rw0j74lfCsWAUeE33afQ7a4DwdEs45oXEeeCtm4PavE3OoVgJDVP5pk6fwj9Ts.etisw2_servlet_user?qnaid=QNAS20200728000002&pgno=1
